	1320
caleta	7
calf	1
caliche	13
caliche_	1
california	2
californian	2
call	6
callacalla	1
callao	18
callcott	2
calle	2
called	25
calling	4
callous	1
calls	3
calm	2
calmer	1
camargo	2
came	56
cameo	1
camino	1
camp	30
campaign	1
campaigners	1
campaigns	2
campbell	2
camped	3
campero	1
campmaster	1
campo	2
camps	14
can	33
canada	6
canal	17
canalisation	1
canalise	1
canals	8
canals_	1
canary	1
cancellation	1
cancha	2
canciones	1
canconicagua	1
candeal_	1
candid	1
candidate	1
candle	3
candles	2
candlestick	1
canelo	3
canes	1
canned	2
canning	3
cannon	2
cannot	16
cano	10
canoe	4
canoes	5
canonised	1
canterac	1
canto	1
capable	3
capacity	9
cape	23
capital	36
capitalisation	1
capitalised	5
capitalists	1
capitana_	1
caplina	1
capped	3
capricious	3
captain	60
captained	2
captains	11
captivity	1
capture	2
captured	14
capturing	2
car	4
caracoles	1
carahue	1
caravels	1
carbajal	1
carbonifera	5
card	2
carder	1
cardunculus_	1
cardón	1
care	4
careen	1
careened	1
career	1
careful	11
carefully	4
careless	1
carelmapu	2
cargo	6
cargoes	3
caribbean	2
carlos	5
carmen	1
carob	1
carpenter	3
carpenters	1
carpet	2
carrasco	3
carrera	9
carreras	8
carriage	1
carried	23
carriers	1
carries	2
carrizal	6
carry	12
carrying	24
cars	6
cart	4
cartographers	1
